state,voter_person,state_id
Arizona,2862,04
Arkansas,3383,05
California,60198,06
Colorado,12167,08
Florida,14618,12
Illinois,52455,17
Iowa,11864,19
Kansas,16516,20
Kentucky,12799,21
Maine,2611,23
Maryland,2300,24
Michigan,34557,26
Minnesota,100977,27
Missouri,1778,29
Nevada,21607,32
New Hampshire,2004,33
New Jersey,36850,34
New Mexico,10042,35
New York,9085,36
North Carolina,13441,37
North Dakota,9180,38
Ohio,43393,39
Pennsylvania,21099,42
Rhode Island,6002,44
South Dakota,2589,46
Tennessee,35156,47
Texas,18115,48
Utah,5782,49
Vermont,12074,50
Virginia,33927,51
Washington,3709,53
West Virginia,1865,54
Wisconsin,7625,55
